,Month,Day,Rainfall,Perca,CumRain
64,3,5,49.8,0.06599494939857131,1.4221514035455987
65,3,6,3.4,0.00450567927620768,1.4266570828218064
66,3,7,46.7,0.06188683005849962,1.488543912880306
67,3,8,39.49,0.0523321395933651,1.540876052473671
68,3,9,96.3,0.12761673949964694,1.6684927919733181
69,3,10,42.82,0.05674505488447438,1.7252378468577925
70,3,11,168.03,0.22267332022975783,1.9479111670875504
71,3,12,31.9,0.042273873209125,1.9901850402966754
72,3,13,134.6,0.17837189134633935,2.168556931643015
73,3,14,38.87,0.05151051572535075,2.2200674473683657
74,3,15,137.9,0.18274505064383503,2.4028124980122008
75,3,16,100.87,0.13367290252678493,2.536485400538986
76,3,17,119.72,0.15865291851399516,2.695138319052981
77,3,18,132.98,0.17622506769120508,2.871363386744186
78,3,19,21.63,0.028664071395403567,2.9000274581395895
79,3,20,60.15,0.07971076719526235,2.979738225334852
80,3,21,62.22,0.08245393075460056,3.0621921560894525
81,3,22,265.87,0.35233086740156944,3.414523023491022
82,3,23,60.99,0.08082393501644307,3.495346958507465
83,3,24,148.91,0.1973355003000252,3.6926824588074902
84,3,25,93.1,0.12337610018086326,3.8160585589883533
85,3,26,17.25,0.02285969632781838,3.838918255316172
86,3,27,119.69,0.15861316252038155,3.9975314178365533
87,3,28,164.0,0.2173327650876646,4.2148641829242175
88,3,29,136.06,0.18030668303553443,4.395170865959752
89,3,30,69.92,0.09265796911542383,4.487828835075176
90,3,31,331.67,0.43952901339405925,4.927357848469235
91,4,1,140.52999999999997,0.18623032608396037,5.113588174553195
92,4,2,80.82,0.10710264679503079,5.220690821348226
93,4,3,134.5,0.17823937136762735,5.398930192715854
94,4,4,175.33999999999995,0.23236053067360427,5.6312907233894585
95,4,5,265.87,0.35233086740156944,5.983621590791028
96,4,6,149.37,0.19794509220210035,6.181566682993128
97,4,7,19.32,0.025602859887156583,6.207169542880284
98,4,8,106.93,0.14170361323673156,6.3488731561170155
99,4,9,67.78999999999999,0.08983529356885842,6.4387084496858735
100,4,10,226.31,0.29990596382310597,6.738614413508979
